S.,"Sippar (Istanbuler Museum), Tafelsignatur."
Š.,"Šuruppak (Istanbul), Museumssignatur."
Sabi Abyad T,"Tall Ṣabīy Abyaḍ, Tafelsignatur."
Sb. / SB,"Susiane (Louvre), Museumssignatur."
Sch.,"Tablettes de la collection Cl. F. A. Schaeffer, Tafelsignatur; in: P. Garelli, Tablettes cappadociennes de collections diverses, RA 58 (1964) 53–68."
SH,"Tell Šemšāra (Shemshara: Kopenhagen/Baghdad), Signatur der Funde."
Si.,"Sippar (Istanbul), Tafelsignatur."
SIL,"Semitistisches Institut, Leipzig. Tafelsignatur."
Sm.,"Smith (British Museum, London), Museumssignatur."
SMN,"Semitic Museum (Harvard University), Nuzi-Tablets, Museumssignatur."
Sp.,"Spartoli (British Museum), Museumssignatur."
T. / T,"Tulul al-ʿAqar(/Kār-Tukultī-Ninurta), Signatur der Funde."
T / TT,"Tall Taʿyīnāt, Signatur der Funde."
Tab T07-,"Tall Ṭābān(/Ṭabēte) (Syrien), Grabungssignatur der Texte der Ausgrabungskampagne von 2007 (Publikation: H. Numoto [ed.], Excavations at Tell Taban, Hassake, Syrien [Tokio 2009])."
Tall Biʿa/Tuttul,"E. Strommenger et al. (ed.), (Ausgrabungen in) Tall Biʿa/Tuttul (Saarbrücken/Wiesbaden 1998ff.; enthalten in: WVDOG). Signatur der in Tall Biʿa/Tuttul 2 = WVDOG 100 (2001) publizierten Texte: KTT."
TB,"Tall Brak, Signatur der Funde."
TCH.,"Tall Ḫuēra, Signatur der Funde."
TH,"Tall Ḥarīri(/Mari), Tafelsignatur."
Th.,"Thompson (British Museum), Signatur der Sammlung."
TM / TM.,"Tall Mardīḫ(/Ebla), Signatur der Funde."
M / TM.,"Tall Muḥammad, Signatur der Funde."
TQ,"Terqa, Signatur der Funde."
TR,"Tall al-Rimāḥ (Ashmolean Museum, Oxford), Museumssignatur."
TS,Texte de Suse. Tafelsignatur (aus der Grabung R. Girshman).
T.SRJ.,"Tall Serǧi, Signatur der Funde."
TT,"Theban Tomb, Fundsignatur."
U / U.,"Ur (London/Philadelphia/Baghdad), Signatur der Funde."
UCBC,"University of California, Berkeley (California), Signatur des Museum of Anthropology."
UCLM,"University of California, Lowie Museum, Signatur."
UCLMA,"University of California, Lowie Museum of Anthropology, Signatur."
UEM,"Umm al-Marra, Grabungssignatur."
UIOM,"University of Illinois (Urbana), Oriental Museum, Museumssignatur."
Um.,"Umma, Tafelsignatur."
UM,"University Museum (Philadelphia), Tafelsignatur."
UMM,"University Museum, Manchester. Museumssignatur."
VA,"Vorderasiatische Abteilung (Staatliche Museen zu Berlin), Signatur. Seit 1953: Signatur des Vorderasiatischen Museums (Berlin); B/Bab. = Babylon. Sammlung; T = Tontafeln."
VA Bab.,s. VA (Tontafelsignatur Babylon. Sammlung)
VAT,s. VA (Tontafelsignatur)
W / W.,"Warka(/Uruk) (Baghdad, Berlin), Signatur der Funde."
Wadsworth Ath.,"Wadsworth Atheneum Museum of Art (Hartford, Conn.) Tafelsignatur."
WB / W-B,"The H. Weld-Blundell Collection (Ashmolean Museum, Oxford), Tontafelsignatur."
YBC,"Yale Babylonian Collection (Yale University, New Haven), Signatur der Sammlung."
ZT,"Ziyaret Tepe(/Tušḫan), Signatur der Funde."
ZTT,"Ziyaret Tepe(/Tušḫan), Signatur der Texte."
